t	Wsp_Metmast_116_5m_mean	Wsp_Metmast_100m_mean	Wsp_Metmast_80m_mean	Wsp_Metmast_60m_mean	Wsp_Metmast_40m_mean	Wsp_Metmast_10m_mean	Dir_metmast_100m_mean	Dir_metmast_60m_mean	Dir_metmast_10m_mean
18.83333	14.181	13.915	13.415	12.732	11.812	9.675	112.600	113.230	114.140
19.00000	13.855	13.399	12.897	12.145	11.186	9.078	110.620	110.150	110.120
19.16667	12.969	12.612	12.103	11.405	10.544	8.671	109.350	108.920	108.290
19.33333	12.566	12.200	11.744	11.064	10.009	8.002	109.270	109.570	107.710
19.50000	12.685	12.302	11.867	11.243	10.445	8.366	109.100	108.780	107.330
19.66667	12.762	12.356	11.652	10.788	9.731	7.787	107.430	106.710	105.290
19.83333	12.253	11.664	10.979	10.143	9.212	7.097	105.030	103.820	100.970
20.00000	12.176	11.771	11.024	10.340	9.602	7.981	104.590	102.840	101.240
20.16667	11.872	11.547	10.980	10.304	9.523	7.628	103.530	101.210	98.511
20.33333	11.908	11.647	11.172	10.525	9.552	7.842	100.400	100.010	96.924
20.50000	11.828	11.404	10.732	9.911	9.138	7.324	99.571	99.676	96.978
20.66667	12.356	11.781	11.004	10.067	8.931	7.284	96.539	96.803	94.127
20.83333	12.304	11.903	11.427	10.598	9.465	7.307	97.174	95.967	94.849
21.00000	12.221	11.833	11.248	10.765	9.947	8.360	97.994	97.277	96.634
21.16667	12.768	12.323	11.702	10.695	9.703	7.862	96.497	95.261	94.070
21.33333	13.260	12.809	12.233	11.464	10.575	8.736	97.214	95.922	94.686
21.50000	13.188	12.619	12.046	11.266	10.364	8.755	97.704	96.840	96.165
21.66667	13.313	13.132	12.656	11.779	10.907	9.102	98.056	96.886	94.895
21.83333	13.053	12.610	12.072	11.144	10.234	8.382	98.806	97.877	97.195
22.00000	13.104	12.660	12.065	11.170	10.008	8.114	99.899	98.356	96.381
22.16667	12.645	12.133	11.506	10.793	9.848	7.788	99.479	98.800	97.204
22.33333	12.792	12.314	11.634	10.840	9.899	8.134	99.460	98.009	96.085
22.50000	12.569	12.104	11.368	10.500	9.380	7.636	98.658	97.735	95.040
22.66667	12.478	11.889	11.240	10.518	9.375	7.279	97.398	96.370	93.105
22.83333	12.989	12.621	12.074	11.131	10.042	7.951	96.305	94.773	92.225
23.00000	12.733	12.450	11.738	10.854	9.881	8.048	96.072	95.148	92.422
23.16667	12.949	12.598	12.022	11.101	9.973	8.149	96.077	95.096	91.412
23.33333	12.463	11.991	11.197	10.308	9.390	7.740	96.782	95.997	94.513
23.50000	12.552	12.001	11.232	10.373	9.279	7.466	96.809	96.190	93.170
23.66667	11.856	11.591	11.095	10.347	9.361	7.683	94.260	93.821	92.315
23.83333	11.770	11.433	10.798	10.050	9.259	7.469	94.106	93.138	90.542
