t	M1_Sspd_9_mean	M1_Sspd_5_mean	M1_Sspd_2_mean	M1_Sdir_9_mean	M1_Sdir_5_mean	M1_Sdir_2_min	M2_Cup_9_mean	M2_Sspd_5_mean	M2_Sspd_2_mean	M2_Sdir_5_mean	M2_Sdir_2_mean	M3_Cup_9_mean	M3_Sspd_5_mean	M3_Sspd_2_mean	M3_Sdir_5_mean	M3_Sdir_2_mean	M4_Sspd_9_mean	M4_Sspd_5_mean	M4_Sspd_2_mean	M4_Sdir_9_mean	M4_Sdir_5_mean	M4_Sdir_2_mean	M5_Sspd_5_mean	M5_Sspd_2_mean	M5_Sdir_5_mean	M5_Sdir_2_mean	M6_Cup_9_mean	M6_Sspd_5_mean	M6_Sspd_2_mean	M6_Sdir_5_mean	M6_Sdir_2_mean	M7_Sspd_5_mean	M7_Sspd_2_mean	M7_Sdir_5_mean	M7_Sdir_2_mean	M8_Cup_9_mean	M8_Sspd_5_mean	M8_Sspd_2_mean	M8_Sdir_5_mean	M8_Sdir_2_mean
20.300	8.506	7.176	4.918	235.610	234.910	238.390	13.690	13.905	9.901	234.650	232.460	12.291	10.487	8.980	235.590	229.540	5.494	4.134	6.551	233.660	289.840	313.780	10.628	9.487	243.290	243.900	14.359	14.148	4.625	237.480	158.930	8.671	7.307	218.920	207.840	11.135	7.772	3.095	232.200	234.590
20.467	8.918	7.422	4.985	231.630	230.260	232.130	14.274	14.313	11.764	231.850	230.790	12.863	10.677	9.371	233.710	226.960	5.332	4.187	6.122	233.370	289.040	312.810	11.172	9.854	242.630	242.720	14.630	14.602	4.961	234.300	184.410	8.921	7.717	214.650	203.740	11.592	8.330	3.636	230.360	230.700
20.633	9.222	7.728	5.228	232.590	231.210	233.100	14.570	14.808	11.658	232.130	230.640	13.218	11.140	9.876	234.280	227.260	5.686	4.320	6.351	232.570	288.260	312.910	11.400	10.058	242.350	242.610	15.039	14.919	4.904	235.350	143.570	9.195	7.961	215.230	204.600	11.856	8.476	3.804	230.140	228.980
20.800	9.064	7.655	5.185	229.360	227.390	227.270	14.358	14.608	12.398	229.860	227.650	13.028	10.871	9.926	231.770	224.560	5.335	4.277	6.328	233.760	288.700	313.070	11.514	10.215	241.440	241.210	14.431	14.169	4.578	234.880	128.380	8.878	7.872	213.670	203.090	12.294	9.234	4.141	229.480	227.400
20.967	8.139	6.800	4.613	229.620	228.290	229.020	13.104	13.244	10.993	230.310	228.100	11.715	9.688	8.815	231.580	224.450	4.721	3.837	5.594	233.890	288.860	313.080	10.296	9.217	240.520	240.410	13.283	12.884	4.122	234.660	115.850	8.179	7.097	214.430	204.090	10.907	7.965	3.558	228.200	226.550
21.133	7.147	5.927	4.067	227.740	225.410	226.430	11.358	11.441	9.788	228.630	226.710	9.985	8.274	7.897	229.550	221.630	3.681	2.937	4.175	232.470	288.500	312.100	8.516	7.522	238.080	237.660	12.010	11.842	3.739	234.710	143.140	7.549	6.659	212.950	203.400	9.438	7.357	3.347	225.350	223.970
21.300	8.094	7.016	4.993	220.940	217.810	214.940	12.559	12.828	11.133	223.520	219.950	11.715	10.603	10.219	224.400	218.680	3.385	2.497	3.201	228.840	281.480	309.670	9.841	8.712	235.210	234.990	12.921	12.721	3.992	230.250	154.590	8.445	7.779	207.220	198.090	10.830	8.858	4.339	222.030	219.770
21.467	7.880	6.808	4.767	222.250	219.560	216.910	12.432	12.659	11.152	224.200	220.820	11.433	10.226	9.950	224.800	218.570	3.343	2.404	3.015	231.540	279.360	310.090	9.625	8.586	234.570	234.300	13.059	12.862	3.866	231.570	144.940	8.735	7.826	208.340	199.800	10.528	8.649	4.266	221.050	218.350
21.633	7.954	6.716	4.713	226.110	223.790	222.870	12.720	12.761	11.101	227.380	224.560	11.433	9.713	9.208	228.370	221.290	3.784	3.065	4.204	232.840	283.100	310.990	9.806	8.767	237.580	237.520	13.120	12.837	4.130	232.730	164.460	8.357	7.423	211.520	201.620	10.738	8.412	3.785	224.020	224.810
21.800	7.966	6.713	4.656	223.530	220.690	219.010	12.510	12.709	10.984	225.190	223.180	11.570	10.251	9.733	226.460	220.010	3.789	2.806	3.593	230.960	282.480	309.660	9.816	8.771	236.730	236.620	12.834	12.569	3.918	232.330	154.020	8.428	7.612	209.030	199.370	10.724	8.572	4.086	223.340	221.550
21.967	7.766	6.671	4.749	220.900	218.010	215.040	12.233	12.316	10.623	223.030	220.700	11.415	10.273	9.771	224.040	218.290	3.095	1.915	2.281	226.800	276.570	308.920	8.991	8.073	233.590	233.500	12.719	12.560	3.807	230.510	171.440	8.540	7.724	206.730	197.820	10.094	8.418	3.963	218.780	217.430
22.133	7.031	6.042	4.292	221.960	219.460	217.300	10.896	10.979	9.682	224.090	221.910	9.942	8.862	8.534	224.650	218.580	2.778	1.993	2.253	227.900	284.370	309.120	8.114	7.244	234.620	234.610	11.632	11.597	3.435	230.850	166.580	7.778	7.045	206.540	197.730	9.040	7.510	3.684	220.300	217.920
22.300	6.648	5.763	4.081	218.590	215.120	211.730	10.229	10.402	8.835	221.230	217.340	9.648	8.935	8.474	222.200	217.200	2.552	1.420	1.684	225.940	279.660	311.780	7.730	6.894	232.090	231.440	10.516	10.378	3.115	229.570	172.420	7.341	6.739	206.250	198.610	8.496	7.131	3.299	218.780	216.990
22.467	6.637	5.702	4.150	217.880	215.010	211.880	10.469	10.549	8.768	221.440	216.660	9.854	9.183	8.785	221.840	217.510	2.678	1.666	1.998	226.810	280.770	310.030	8.093	7.140	231.050	231.090	11.008	10.941	3.190	229.070	169.000	7.493	6.919	205.240	196.890	9.289	7.771	3.891	217.170	214.990
22.633	6.446	5.431	3.772	219.780	217.070	214.270	10.209	10.175	8.694	222.290	218.980	9.542	8.767	8.444	222.270	217.120	2.425	1.392	1.673	226.220	281.410	310.850	7.505	6.768	232.420	231.880	10.953	10.921	3.294	231.390	172.190	7.487	6.842	206.590	198.340	8.634	7.320	3.647	219.210	216.710
22.800	6.209	5.455	3.902	218.270	215.000	212.150	9.770	9.973	7.999	221.200	216.130	9.236	8.583	8.198	221.610	217.100	2.430	1.423	1.643	224.760	275.930	309.090	7.376	6.560	230.360	229.740	10.244	10.273	3.000	229.960	165.320	7.021	6.424	206.030	197.620	8.482	7.191	3.564	217.370	215.390
22.967	7.189	6.394	4.682	213.960	210.690	206.020	10.771	11.110	8.041	218.690	212.240	10.200	9.676	9.225	219.090	215.000	2.674	1.368	1.645	218.370	284.560	311.490	7.960	7.138	230.140	230.010	11.223	11.294	3.373	225.940	186.260	8.120	7.534	201.010	193.710	9.029	7.805	4.042	215.530	213.230
23.133	6.599	5.856	4.362	213.250	209.750	205.970	9.901	10.028	7.255	218.380	211.330	9.562	8.964	8.449	217.780	214.190	2.607	1.091	1.280	216.930	287.930	319.940	7.615	6.834	227.970	227.220	10.530	10.653	3.389	226.430	197.760	7.644	7.216	200.700	193.460	8.876	7.708	4.171	214.780	209.960
23.300	6.076	5.424	3.995	213.300	210.280	206.430	9.236	9.479	6.429	218.310	209.760	8.980	8.517	8.083	218.270	213.890	2.372	1.186	1.309	216.100	286.380	315.880	6.993	6.262	229.600	229.190	9.757	10.049	2.954	227.510	192.510	7.174	6.634	202.330	194.760	8.303	7.157	3.624	215.020	212.550
23.467	6.786	6.018	4.432	215.540	212.340	208.270	10.239	10.447	8.163	219.400	213.620	9.697	9.104	8.661	220.100	215.600	2.666	1.221	1.390	223.870	279.230	305.380	7.679	6.860	230.980	230.900	10.777	10.856	3.120	227.510	187.000	7.732	7.131	202.630	194.880	8.467	7.170	3.570	217.050	214.400
23.633	6.382	5.696	4.291	213.820	210.070	206.660	9.555	9.854	7.035	218.900	211.620	9.254	8.688	8.236	219.530	214.990	2.469	1.136	1.205	220.290	291.070	310.120	7.206	6.504	230.370	230.140	9.666	9.714	2.901	226.080	181.280	6.872	6.422	202.950	195.670	8.200	6.988	3.466	216.540	214.400
23.800	6.611	5.792	4.225	213.910	210.670	206.540	10.051	10.224	7.552	218.620	212.840	9.544	8.948	8.501	219.580	215.320	2.493	1.307	1.361	223.650	277.790	316.440	7.471	6.664	231.080	231.250	10.330	10.366	3.001	227.020	180.710	7.443	6.915	202.050	194.280	8.352	7.090	3.521	218.260	215.160
23.967	6.077	5.255	3.848	216.510	213.060	210.010	9.245	9.517	7.541	220.120	215.460	8.789	8.291	7.846	221.160	216.490	2.388	1.346	1.621	227.070	276.230	314.060	7.072	6.338	231.820	230.900	9.671	9.788	2.861	228.640	176.570	6.861	6.413	203.600	196.160	8.003	6.788	3.418	218.080	216.090
